"4"|"3"|"Just okay"
"12"|"1"|"Oh, I like this one."
"21"|"4"|"What a pit"
"19"|"1"|"Oh, I like this one."
"15"|"4"|"My FOREVER home!!"
"40"|"3"|"Let&#39;s put an offer on this one"
"22"|"1"|"Just okay"
"48"|"5"|"My FOREVER home!!"
"50"|"5"|"Oh, I like this one."
"33"|"5"|"Just okay"
"6"|"4"|"What a pit"
"32"|"5"|"What a pit"
"40"|"4"|"Oh, I like this one."
"33"|"4"|"Oh, I like this one."
"25"|"5"|"Oh, I like this one."
"23"|"2"|"Best one I&#39;ve seen!"
"50"|"2"|"Who lives there, anyways?"
"10"|"5"|"Best one I&#39;ve seen!"
"39"|"5"|"Just okay"
"3"|"4"|"Best one I&#39;ve seen!"
"27"|"1"|"Oh, I like this one."
"17"|"3"|"Oh, I like this one."
"10"|"4"|"What a pit"
"32"|"3"|"Best one I&#39;ve seen!"
"41"|"4"|"What a pit"
"3"|"1"|"Who lives there, anyways?"
"11"|"4"|"Let&#39;s put an offer on this one"
"12"|"5"|"Oh, I like this one."
"35"|"3"|"This is a possibility"
"37"|"2"|"Let&#39;s put an offer on this one"
"40"|"6"|"Oh, I like this one."
"12"|"3"|"My FOREVER home!!"
"32"|"3"|"My FOREVER home!!"
"40"|"4"|"My FOREVER home!!"
"26"|"3"|"Best one I&#39;ve seen!"
"2"|"4"|"Let&#39;s put an offer on this one"
"37"|"2"|"Just okay"
"41"|"5"|"Oh, I like this one."
"32"|"4"|"Best one I&#39;ve seen!"
"19"|"5"|"Let&#39;s put an offer on this one"
"28"|"2"|"This is a possibility"
"49"|"3"|"What a pit"
"39"|"4"|"Who lives there, anyways?"
"45"|"4"|"Best one I&#39;ve seen!"
"24"|"2"|"My FOREVER home!!"
"35"|"3"|"My FOREVER home!!"
"4"|"4"|"Oh, I like this one."
"8"|"6"|"Let&#39;s put an offer on this one"
"18"|"2"|"What a pit"
"11"|"4"|"Let&#39;s put an offer on this one"
"44"|"3"|"Let&#39;s put an offer on this one"
"10"|"6"|"What a pit"
"29"|"4"|"What a pit"
"13"|"2"|"Best one I&#39;ve seen!"
"13"|"6"|"What a pit"
"42"|"2"|"Best one I&#39;ve seen!"
"44"|"5"|"Just okay"
"27"|"4"|"Just okay"
"37"|"2"|"This is a possibility"
"38"|"5"|"Who lives there, anyways?"
"27"|"5"|"My FOREVER home!!"
"25"|"5"|"This is a possibility"
"39"|"2"|"Best one I&#39;ve seen!"
"9"|"3"|"This is a possibility"
"17"|"5"|"Best one I&#39;ve seen!"
"38"|"3"|"Oh, I like this one."
"47"|"5"|"Oh, I like this one."
"15"|"3"|"What a pit"
"49"|"1"|"Who lives there, anyways?"
"29"|"4"|"Best one I&#39;ve seen!"
"44"|"3"|"What a pit"
"14"|"5"|"Oh, I like this one."
"39"|"5"|"Just okay"
"26"|"4"|"Let&#39;s put an offer on this one"
"19"|"5"|"Just okay"
"35"|"4"|"Who lives there, anyways?"
"23"|"1"|"Just okay"
"49"|"4"|"My FOREVER home!!"
"23"|"6"|"This is a possibility"
"32"|"3"|"Oh, I like this one."
"29"|"5"|"Best one I&#39;ve seen!"
"45"|"6"|"Oh, I like this one."
"36"|"3"|"Best one I&#39;ve seen!"
"16"|"3"|"Let&#39;s put an offer on this one"
"41"|"1"|"Let&#39;s put an offer on this one"
"12"|"3"|"Best one I&#39;ve seen!"
"27"|"2"|"Oh, I like this one."
"49"|"2"|"Just okay"
"29"|"6"|"Who lives there, anyways?"
"36"|"1"|"My FOREVER home!!"
"48"|"5"|"Oh, I like this one."
"46"|"3"|"Best one I&#39;ve seen!"
"19"|"3"|"This is a possibility"
"47"|"5"|"Just okay"
"8"|"1"|"Just okay"
"19"|"3"|"What a pit"
"18"|"1"|"My FOREVER home!!"
"22"|"6"|"Oh, I like this one."
"41"|"6"|"This is a possibility"
"27"|"1"|"My FOREVER home!!"
"18"|"2"|"This is a possibility"
"18"|"5"|"What a pit"
"17"|"2"|"Oh, I like this one."
"45"|"3"|"Oh, I like this one."
"26"|"2"|"Just okay"
"2"|"5"|"This is a possibility"
"25"|"4"|"Just okay"
"13"|"1"|"Who lives there, anyways?"
"38"|"5"|"What a pit"
"3"|"4"|"Let&#39;s put an offer on this one"
"48"|"6"|"Just okay"
"16"|"3"|"This is a possibility"
"36"|"3"|"Best one I&#39;ve seen!"
"8"|"3"|"What a pit"
"46"|"3"|"Oh, I like this one."
"48"|"5"|"Let&#39;s put an offer on this one"
"22"|"4"|"Let&#39;s put an offer on this one"
"37"|"6"|"My FOREVER home!!"
"7"|"1"|"What a pit"
